ID;Data;Categoria;Adempimento;Titolo;Apparato;Supervisore;Controllore;Addetto;Stato;Costi;Tempi
1793;01/02/2027;SICUREZZA/VALUTAZIONI DEI RISCHI;Valutazione dei rischi;Valutazione dei rischi - DST MEDICAL SRL - OIS SAN PAOLO;DST MEDICAL SRL - OIS SAN PAOLO;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;in validita;;
1792;01/02/2027;SICUREZZA/RADIAZIONI IONIZZANTI;Attrezzature medico radiologiche;Attrezzature medico radiologiche - RETE ROMA SALUS;RETE ROMANA SALUS - OIS MEDICAL CENTER;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;in validita;;
1791;01/02/2027;SICUREZZA/VALUTAZIONI DEI RISCHI;Valutazione dei rischi;Valutazione dei rischi - RETE ROMANA SALUS;RETE ROMANA SALUS - OIS MEDICAL CENTER;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;in validita;;
1790;01/02/2027;SICUREZZA/RADIAZIONI IONIZZANTI;Attrezzature medico radiologiche;Attrezzature medico radiologiche - ISMILE FIANO S.R.L.;ISMILE FIANO S.R.L.;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;in validita;;
1789;01/02/2027;SICUREZZA/VALUTAZIONI DEI RISCHI;Valutazione dei rischi;Valutazione dei rischi - DST MEDICAL SRL - OIS PRIMAVERA;DST MEDICAL SRL - OIS PRIMAVERA;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;in validita;;
1788;01/01/2027;SICUREZZA/VALUTAZIONI DEI RISCHI;Valutazione dei rischi;Valutazione dei rischi - DM DENTAL SRL;DM DENTAL SRL;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;in validita;;
1787;01/01/2027;SICUREZZA/RADIAZIONI IONIZZANTI;Attrezzature medico radiologiche;Attrezzature medico radiologiche - DM DENTAL SRL;DM DENTAL SRL;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;in validita;;
1786;01/02/2027;SICUREZZA/RADIAZIONI IONIZZANTI;Attrezzature medico radiologiche;Attrezzature medico radiologiche - DI GIROLAMO FRANCESCO;DI GIROLAMO FRANCESCO;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;in validita;;
1785;01/04/2026;SICUREZZA/VALUTAZIONI DEI RISCHI;Valutazione dei rischi da esposizione a Radiazioni Ottiche Artificiali (ROA);Valutazione dei rischi da esposizione a Radiazioni Ottiche Artificiali (ROA) - SBRICCOLI FRANCA;SBRICCOLI FRANCA;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;in validita;;
1784;01/04/2025;SICUREZZA/VALUTAZIONI DEI RISCHI;Valutazione dei rischi da esposizione a Radiazioni Ottiche Artificiali (ROA);Valutazione dei rischi da esposizione a Radiazioni Ottiche Artificiali (ROA) - SBRICCOLI FRANCA;SBRICCOLI FRANCA;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;completo;;
1783;01/04/2026;SICUREZZA/RADIAZIONI IONIZZANTI;Attrezzature medico radiologiche;Attrezzature medico radiologiche - ERCOLI ENRICO;ERCOLI ENRICO;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;in validita;;
1782;01/04/2025;SICUREZZA/RADIAZIONI IONIZZANTI;Attrezzature medico radiologiche;Attrezzature medico radiologiche - ERCOLI ENRICO;ERCOLI ENRICO;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;completo;;
1781;01/02/2027;SICUREZZA/ALTRE VERIFICHE PERIODICHE;Verifica ANNUALE legionella;Verifica ANNUALE legionella - PASSARELLI PAOLO - ROMA;PASSARELLI PAOLO - ROMA;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;in validita;;
1780;01/02/2026;SICUREZZA/ALTRE VERIFICHE PERIODICHE;Verifica ANNUALE legionella;Verifica ANNUALE legionella - PASSARELLI PAOLO - ROMA;PASSARELLI PAOLO - ROMA;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;completo;;
1779;01/02/2027;SICUREZZA/ALTRE VERIFICHE PERIODICHE;Verifica ANNUALE legionella;Verifica ANNUALE legionella - PASSARELLI PAOLO - ARSOLI;PASSARELLI PAOLO - ARSOLI;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;in validita;;
1778;01/02/2026;SICUREZZA/ALTRE VERIFICHE PERIODICHE;Verifica ANNUALE legionella;Verifica ANNUALE legionella - PASSARELLI PAOLO - ARSOLI;PASSARELLI PAOLO - ARSOLI;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;completo;;
1777;01/11/2026;SICUREZZA/ALTRE VERIFICHE PERIODICHE;Verifica ANNUALE legionella;Verifica ANNUALE legionella - PEDOTO FRANCESCA;PEDOTO FRANCESCA;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;in validita;;
1776;01/11/2025;SICUREZZA/ALTRE VERIFICHE PERIODICHE;Verifica ANNUALE legionella;Verifica ANNUALE legionella - PEDOTO FRANCESCA;PEDOTO FRANCESCA;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;completo;;
1775;01/10/2026;SICUREZZA/ALTRE VERIFICHE PERIODICHE;Verifiche periodiche di sicurezza macchine e attrezzature;Verifiche periodiche di sicurezza macchine e attrezzature - FUTURE SMILE SRL;FUTURE SMILE SRL;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;in validita;;
1774;01/10/2024;SICUREZZA/ALTRE VERIFICHE PERIODICHE;Verifiche periodiche di sicurezza macchine e attrezzature;Verifiche periodiche di sicurezza macchine e attrezzature - FUTURE SMILE SRL;FUTURE SMILE SRL;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;completo;;
1773;01/09/2026;SICUREZZA/RADIAZIONI IONIZZANTI;Attrezzature medico radiologiche;Attrezzature medico radiologiche - FUTURE SMILE SRL;FUTURE SMILE SRL;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;in validita;;
1772;01/09/2025;SICUREZZA/RADIAZIONI IONIZZANTI;Attrezzature medico radiologiche;Attrezzature medico radiologiche - FUTURE SMILE SRL;FUTURE SMILE SRL;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;completo;;
1771;01/03/2026;ALTRO/ALTRO;Altro;Altro - FUTURE SMILE SRL;FUTURE SMILE SRL;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;avviato ed in scadenza;;
1770;01/03/2025;ALTRO/ALTRO;Altro;Altro - FUTURE SMILE SRL;FUTURE SMILE SRL;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;completo;;
1769;01/03/2026;SICUREZZA/VALUTAZIONI DEI RISCHI;Valutazione dei rischi;Valutazione dei rischi - FUTURE SMILE SRL;FUTURE SMILE SRL;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;avviato ed in scadenza;;
1768;01/03/2025;SICUREZZA/VALUTAZIONI DEI RISCHI;Valutazione dei rischi;Valutazione dei rischi - FUTURE SMILE SRL;FUTURE SMILE SRL;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;completo;;
1767;01/01/2027;SICUREZZA/RADIAZIONI IONIZZANTI;Attrezzature medico radiologiche;Attrezzature medico radiologiche - ODONTOIATRIA RICCIARDI BORGHI STP;ODONTOIATRIA RICCIARDI BORGHI STP;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;in validita;;
1766;01/01/2026;SICUREZZA/RADIAZIONI IONIZZANTI;Attrezzature medico radiologiche;Attrezzature medico radiologiche - ODONTOIATRIA RICCIARDI BORGHI STP;ODONTOIATRIA RICCIARDI BORGHI STP;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;completo;;
1765;01/02/2027;SICUREZZA/RADIAZIONI IONIZZANTI;Attrezzature medico radiologiche;Attrezzature medico radiologiche - MARINANGELI CARLO;MARINANGELI CARLO;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;in validita;;
1764;01/02/2027;SICUREZZA/VALUTAZIONI DEI RISCHI;Valutazione dei rischi;Valutazione dei rischi - PRIMA2 DENTAL S.R.L.;PRIMA2 DENTAL S.R.L.;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;in validita;;
1763;01/02/2027;SICUREZZA/VALUTAZIONI DEI RISCHI;Valutazione dei rischi;Valutazione dei rischi - DST MEDICAL SRL - OIS CORNELIA;DST MEDICAL SRL - OIS CORNELIA;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;in validita;;
1762;01/01/2027;SICUREZZA/VALUTAZIONI DEI RISCHI;Valutazione dei rischi;Valutazione dei rischi - PANTI FABRIZIO;PANTI FABRIZIO;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;in validita;;
1761;01/01/2027;SICUREZZA/RADIAZIONI IONIZZANTI;Attrezzature medico radiologiche;Attrezzature medico radiologiche - PANTI FABRIZIO;PANTI FABRIZIO;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;in validita;;
1760;01/02/2027;SICUREZZA/VALUTAZIONI DEI RISCHI;Valutazione dei rischi;Valutazione dei rischi - ANGELO LOVAGLIO;ANGELO LOVAGLIO;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;in validita;;
1759;01/02/2027;SICUREZZA/RADIAZIONI IONIZZANTI;Attrezzature medico radiologiche;Attrezzature medico radiologiche - TISO FABIO;TISO FABIO;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;in validita;;
1758;01/02/2027;SICUREZZA/VALUTAZIONI DEI RISCHI;Valutazione dei rischi;Valutazione dei rischi - SPINETTI ALESSANDRA;SPINETTI ALESSANDRA;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;in validita;;
1757;01/02/2027;SICUREZZA/VALUTAZIONI DEI RISCHI;Valutazione dei rischi;Valutazione dei rischi - BRECEVICH MAURIZIO;BRECEVICH MAURIZIO;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;in validita;;
1756;01/08/2026;SICUREZZA/ALTRE VERIFICHE PERIODICHE;Verifica ANNUALE legionella;Verifica ANNUALE legionella - ODONTOCOOP SRL - LIVIGNO;ODONTOCOOP SRL - LIVIGNO;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;in validita;;
1755;01/08/2026;SICUREZZA/ALTRE VERIFICHE PERIODICHE;Verifica ANNUALE legionella;Verifica ANNUALE legionella - ODONTOCOOP SRL - DON ORIONE;ODONTOCOOP SRL - DON ORIONE;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;in validita;;
1754;01/08/2026;SICUREZZA/ALTRE VERIFICHE PERIODICHE;Verifica ANNUALE legionella;Verifica ANNUALE legionella - ODONTOCOOP SRL - CUSANO MILANINO;ODONTOCOOP SRL - CUSANO MILANINO;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;in validita;;
1753;01/08/2026;SICUREZZA/ALTRE VERIFICHE PERIODICHE;Verifica ANNUALE legionella;Verifica ANNUALE legionella - ODONTOCOOP SRL - COLOGNO MONZESE;ODONTOCOOP SRL - COLOGNO MONZESE;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;in validita;;
1752;01/08/2026;SICUREZZA/ALTRE VERIFICHE PERIODICHE;Verifica ANNUALE legionella;Verifica ANNUALE legionella - ODONTOCOOP SRL - SESTO SAN GIOVANNI;ODONTOCOOP SRL - SESTO SAN GIOVANNI;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;in validita;;
1751;01/05/2026;SICUREZZA/VALUTAZIONI DEI RISCHI;Valutazione dei rischi;Valutazione dei rischi - BENEDETTI SIMONE - GRUPPO ODONTOIATRICO TUSCOLANO;GRUPPO ODONTOIATRICO TUSCOLANO - BENEDETTI SIMONE;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;in validita;;
1750;01/05/2025;SICUREZZA/VALUTAZIONI DEI RISCHI;Valutazione dei rischi;Valutazione dei rischi - BENEDETTI SIMONE - GRUPPO ODONTOIATRICO TUSCOLANO;GRUPPO ODONTOIATRICO TUSCOLANO - BENEDETTI SIMONE;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;completo;;
1749;01/05/2026;SICUREZZA/RADIAZIONI IONIZZANTI;Attrezzature medico radiologiche;Attrezzature medico radiologiche - BENEDETTI SIMONE - GRUPPO ODONTOIATRICO TUSCOLANO;GRUPPO ODONTOIATRICO TUSCOLANO - BENEDETTI SIMONE;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;in validita;;
1748;01/05/2025;SICUREZZA/RADIAZIONI IONIZZANTI;Attrezzature medico radiologiche;Attrezzature medico radiologiche - BENEDETTI SIMONE - GRUPPO ODONTOIATRICO TUSCOLANO;GRUPPO ODONTOIATRICO TUSCOLANO - BENEDETTI SIMONE;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;completo;;
1747;01/09/2026;SICUREZZA/ALTRE VERIFICHE PERIODICHE;Verifica ANNUALE legionella;Verifica ANNUALE legionella - CECCAIONI FABIO;CECCAIONI FABIO;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;in validita;;
1746;01/09/2025;SICUREZZA/ALTRE VERIFICHE PERIODICHE;Verifica ANNUALE legionella;Verifica ANNUALE legionella - CECCAIONI FABIO;CECCAIONI FABIO;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;completo;;
1745;01/03/2026;SICUREZZA/VALUTAZIONI DEI RISCHI;Valutazione dei rischi;Valutazione dei rischi - ALONZO PIERPAOLO (ROMA);ALONZO PIERPAOLO (ROMA);panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;avviato ed in scadenza;;
1744;01/03/2025;SICUREZZA/VALUTAZIONI DEI RISCHI;Valutazione dei rischi;Valutazione dei rischi - ALONZO PIERPAOLO (ROMA);ALONZO PIERPAOLO (ROMA);panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;completo;;
1743;01/03/2026;SICUREZZA/RADIAZIONI IONIZZANTI;Attrezzature medico radiologiche;Attrezzature medico radiologiche - ALONZO PIERPAOLO (ROMA);ALONZO PIERPAOLO (ROMA);panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;avviato ed in scadenza;;
1742;01/03/2025;SICUREZZA/RADIAZIONI IONIZZANTI;Attrezzature medico radiologiche;Attrezzature medico radiologiche - ALONZO PIERPAOLO (ROMA);ALONZO PIERPAOLO (ROMA);panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;completo;;
1741;01/06/2026;SICUREZZA/VALUTAZIONI DEI RISCHI;Valutazione dei rischi;Valutazione dei rischi - PIRAS SILVESTRO;PIRAS SILVESTRO;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;in validita;;
1740;01/06/2025;SICUREZZA/VALUTAZIONI DEI RISCHI;Valutazione dei rischi;Valutazione dei rischi - PIRAS SILVESTRO;PIRAS SILVESTRO;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;completo;;
1739;01/11/2026;SICUREZZA/RADIAZIONI IONIZZANTI;Attrezzature medico radiologiche;Attrezzature medico radiologiche - ODONTOCOOP SRL - TRIVULZIO;ODONTOCOOP SRL - TRIVULZIO;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;in validita;;
1738;01/11/2025;SICUREZZA/RADIAZIONI IONIZZANTI;Attrezzature medico radiologiche;Attrezzature medico radiologiche - ODONTOCOOP SRL - TRIVULZIO;ODONTOCOOP SRL - TRIVULZIO;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;completo;;
